Sample_ID	Gene	DB_Support_Count	NCBI AMRFinderPlus	CARD	ResFinder	ARG-ANNOT	AMRFinderPlus (abritAMR)	Display
SRR39134500_filt	acrB	1	0	1	0	0	0	acrB²
SRR39134500_filt	acrD	1	0	1	0	0	0	acrD²
SRR39134500_filt	AcrE	1	0	1	0	0	0	AcrE²
SRR39134500_filt	acrF	2	0	1	0	0	1	acrF²⁵
SRR39134500_filt	AcrS	1	0	1	0	0	0	AcrS²
SRR39134500_filt	AmpC1_Ecoli	1	0	0	0	1	0	AmpC1_Ecoli⁴
SRR39134500_filt	AmpC2_Ecoli	1	0	0	0	1	0	AmpC2_Ecoli⁴
SRR39134500_filt	ampH_Ecoli	1	0	0	0	1	0	ampH_Ecoli⁴
SRR39134500_filt	bacA	1	0	1	0	0	0	bacA²
SRR39134500_filt	blaEC-15	1	0	0	0	0	1	blaEC-15⁵
SRR39134500_filt	cpxA	1	0	1	0	0	0	cpxA²
SRR39134500_filt	CRP	1	0	1	0	0	0	CRP²
SRR39134500_filt	EC-18	2	1	1	0	0	0	EC-18¹²
SRR39134500_filt	emrA	1	0	1	0	0	0	emrA²
SRR39134500_filt	emrB	1	0	1	0	0	0	emrB²
SRR39134500_filt	emrK	1	0	1	0	0	0	emrK²
SRR39134500_filt	emrR	1	0	1	0	0	0	emrR²
SRR39134500_filt	emrY	1	0	1	0	0	0	emrY²
SRR39134500_filt	eptA	1	0	1	0	0	0	eptA²
SRR39134500_filt	Escherichia_coli_acrA	1	0	1	0	0	0	Escherichia_coli_acrA²
SRR39134500_filt	Escherichia_coli_mdfA	1	0	1	0	0	0	Escherichia_coli_mdfA²
SRR39134500_filt	evgA	1	0	1	0	0	0	evgA²
SRR39134500_filt	evgS	1	0	1	0	0	0	evgS²
SRR39134500_filt	gadW	1	0	1	0	0	0	gadW²
SRR39134500_filt	gadX	1	0	1	0	0	0	gadX²
SRR39134500_filt	H-NS	1	0	1	0	0	0	H-NS²
SRR39134500_filt	kdpE	1	0	1	0	0	0	kdpE²
SRR39134500_filt	leuO	1	0	1	0	0	0	leuO²
SRR39134500_filt	marA	1	0	1	0	0	0	marA²
SRR39134500_filt	mdtA	1	0	1	0	0	0	mdtA²
SRR39134500_filt	mdtB	1	0	1	0	0	0	mdtB²
SRR39134500_filt	mdtC	1	0	1	0	0	0	mdtC²
SRR39134500_filt	mdtE	1	0	1	0	0	0	mdtE²
